MAGs,Kingdom,Phylum,Class,Order,Family,Genus
P3_contigs_comebin_43443_sub,Bacteria,Deinococcota,Deinococci,Deinococcales,JAAFIG01,JANYHH01
P3_contigs_comebin_45791,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
P3_contigs_comebin_4848_sub,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,BOG-1363
P3_contigs_comebin_56021_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_comebin_63657_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
P3_contigs_comebin_64_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomicrobium
P3_contigs_concoct_171,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,NA,NA
P3_contigs_concoct_80_sub,NA,NA,NA,NA,NA,NA
P3_contigs_concoct_92_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_concoct_98,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Thermoflexibacteraceae,JAAFKA01
P3_contigs_concoct_99_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
P3_contigs_metabat_37,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA
P3_contigs_metabinner_20_sub,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Rhodoglobus
P3_contigs_metabinner_21,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Luteolibacter
P3_contigs_metabinner_39_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
P3_contigs_metabinner_8,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,UBA4096
P4_contigs_comebin_130_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_comebin_141_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_comebin_145_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_comebin_16_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFJR01
P4_contigs_comebin_18613,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P4_contigs_comebin_2,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P4_contigs_comebin_48_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomicrobium
P4_contigs_comebin_63545,Bacteria,Cyanobacteriota,Cyanobacteriia,Gloeomargaritales,NA,NA
P4_contigs_comebin_89186_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P4_contigs_comebin_90504_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_concoct_116_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_concoct_125_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
P4_contigs_concoct_157_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_concoct_173,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P4_contigs_concoct_181,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,UBA4096
P4_contigs_concoct_71_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_concoct_88_sub,Unclassified,NA,NA,NA,NA,NA
P4_contigs_metabinner_27_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P4_contigs_metabinner_6,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Aestuariivirgaceae,Aestuariivirga
P5_contigs_comebin_115_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P5_contigs_comebin_14998,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,NA,NA
P5_contigs_comebin_23626_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
P5_contigs_comebin_8_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JACMNW01
P5_contigs_concoct_126_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P5_contigs_concoct_135,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,JJ008
P5_contigs_concoct_168_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
P5_contigs_concoct_44,Unclassified Bacteria,NA,NA,NA,NA,NA
P5_contigs_concoct_49,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium
P5_contigs_concoct_52,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
P5_contigs_metabat_33_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P5_contigs_metabat_51_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
after_final_contigs_comebin_116262_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_comebin_117997_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
after_final_contigs_comebin_134_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_comebin_155903_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_comebin_194_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_comebin_249610_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_comebin_39,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,JAGQZY01,JACKAL01
after_final_contigs_comebin_41187,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
after_final_contigs_comebin_47,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
after_final_contigs_comebin_55986_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
after_final_contigs_comebin_65_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
after_final_contigs_comebin_73_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_comebin_90_sub,Bacteria,Bacteroidota,Bacteroidia,UBA4408,UBA4408,NA
after_final_contigs_comebin_96606_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFJR01
after_final_contigs_concoct_0,Bacteria,Deinococcota,Deinococci,Deinococcales,JAAFIG01,JANYHH01
after_final_contigs_concoct_104,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,Phototrophicaceae,JAUZRW01
after_final_contigs_concoct_121_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFJR01
after_final_contigs_concoct_124,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,CAILHX01
after_final_contigs_concoct_131_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,Gloeomargaritales,NA,NA
after_final_contigs_concoct_158_sub,NA,NA,NA,NA,NA,NA
after_final_contigs_concoct_168_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,Micavibrio
after_final_contigs_concoct_175_sub,Bacteria,Bacteroidota,Bacteroidia,B-17B0,B-17BO,UBA2475
after_final_contigs_concoct_24_sub,Unclassified,NA,NA,NA,NA,NA
after_final_contigs_concoct_252_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_concoct_255_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_concoct_270_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Hydrogenophaga
after_final_contigs_concoct_279_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
after_final_contigs_concoct_30_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
after_final_contigs_concoct_43_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomicrobium
after_final_contigs_concoct_61_sub,Unclassified,NA,NA,NA,NA,NA
after_final_contigs_concoct_64_sub,Bacteria,Patescibacteria,SOKK01,NA,NA,NA
after_final_contigs_concoct_70_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_concoct_71_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_concoct_76_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,NA,NA
after_final_contigs_rosella_74,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rubrivivax
after_final_contigs_taxvamb_1335_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFIP01
after_final_contigs_taxvamb_172_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
after_final_contigs_taxvamb_44080_sub,NA,NA,NA,NA,NA,NA
after_final_contigs_taxvamb_678_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Elsterales,Elsteraceae,Elstera
after_final_contigs_taxvamb_812_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_102977_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JANYCG01
all_final_contigs_comebin_105786_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_116224,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA
all_final_contigs_comebin_123,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFJR01
all_final_contigs_comebin_139_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFJR01
all_final_contigs_comebin_178_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,CAIYZT01
all_final_contigs_comebin_210491_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,NA
all_final_contigs_comebin_227_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
all_final_contigs_comebin_23636_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_245600,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_328_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_346915,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
all_final_contigs_comebin_362547_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_371_sub,Unclassified,NA,NA,NA,NA,NA
all_final_contigs_comebin_479_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_527_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_comebin_622_sub,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bryobacter
all_final_contigs_comebin_62_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis
all_final_contigs_comebin_730_sub,Unclassified,NA,NA,NA,NA,NA
all_final_contigs_comebin_85132,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
all_final_contigs_concoct_104_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,UBA2334
all_final_contigs_concoct_108_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
all_final_contigs_concoct_110_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
all_final_contigs_concoct_167_sub,NA,NA,NA,NA,NA,NA
all_final_contigs_concoct_184_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
all_final_contigs_concoct_215_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JANYCG01
all_final_contigs_concoct_232_sub,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Lacibacter
all_final_contigs_concoct_246_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_262_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Geitlerinemaceae,PCC-9228
all_final_contigs_concoct_298_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_313_sub,NA,NA,NA,NA,NA,NA
all_final_contigs_concoct_319_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,Microcoleus
all_final_contigs_concoct_34_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_concoct_355_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_metabat_126_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,NA,NA
all_final_contigs_metabat_29_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_metabinner_19,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Hydrogenophaga
all_final_contigs_metabinner_71,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA
all_final_contigs_rosella_0_113_sub,Unclassified,NA,NA,NA,NA,NA
all_final_contigs_rosella_194_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_rosella_202_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomicrobium
all_final_contigs_rosella_86_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_taxvamb_1180_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_taxvamb_126837_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
all_final_contigs_taxvamb_1775_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
all_final_contigs_taxvamb_3406_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,Micavibrio
all_final_contigs_taxvamb_848_sub,Bacteria,Actinomycetota,Actinomycetes,Nanopelagicales,Nanopelagicaceae,Planktophila
all_final_contigs_taxvamb_937_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
all_final_contigs_taxvamb_9672_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
before_final_contigs_comebin_107459_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
before_final_contigs_comebin_132499,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Emticicia
before_final_contigs_comebin_148134_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
before_final_contigs_comebin_156302_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,NA,NA
before_final_contigs_comebin_168147_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Leadbetterella
before_final_contigs_comebin_213307_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
before_final_contigs_comebin_320_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_comebin_46_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
before_final_contigs_comebin_6_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_comebin_84_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
before_final_contigs_comebin_97_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_concoct_118_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_concoct_122_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_concoct_124,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA
before_final_contigs_concoct_156_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
before_final_contigs_concoct_160_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
before_final_contigs_concoct_218_sub,Unclassified,NA,NA,NA,NA,NA
before_final_contigs_concoct_247_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,M2408
before_final_contigs_concoct_52_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_concoct_66_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cypionkella
before_final_contigs_concoct_67_sub,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Pseudobdellovibrio
before_final_contigs_metabat_149_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,NA,NA
before_final_contigs_metabat_8_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_metabinner_23_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_metabinner_40_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_rosella_0_99_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_rosella_184_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
before_final_contigs_rosella_56_sub,NA,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_100_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_128_sub,Unclassified,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_38_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
